"Date","Price","Open","High","Low","Vol.","Change %"
"14-05-2017","30,464.92","30,287.37","30,712.35","30,273.62","68.52M","0.92%"
"07-05-2017","30,188.15","29,915.12","30,366.43","29,877.41","52.74M","1.10%"
"30-04-2017","29,858.80","30,021.49","30,176.55","29,804.12","63.09M","-0.20%"
"23-04-2017","29,918.40","29,407.68","30,184.22","29,392.99","51.96M","1.88%"
"16-04-2017","29,365.30","29,470.27","29,701.19","29,241.48","58.15M","-0.33%"
"09-04-2017","29,461.45","29,752.62","29,838.82","29,442.26","41.89M","-0.83%"
"02-04-2017","29,706.61","29,737.73","30,007.48","29,668.45","48.88M","0.29%"
"26-03-2017","29,620.50","29,395.68","29,687.64","29,163.54","121.37M","0.68%"
"19-03-2017","29,421.40","29,653.54","29,699.48","29,137.48","488.77M","-0.77%"
"12-03-2017","29,648.99","29,437.23","29,824.62","29,356.05","468.47M","2.43%"
"05-03-2017","28,946.23","28,859.21","29,098.17","28,815.02","469.57M","0.39%"
"26-02-2017","28,832.45","28,910.50","29,145.62","28,716.21","59.17M","-0.21%"
"19-02-2017","28,892.97","28,481.91","29,065.31","28,419.27","53.71M","1.49%"
"12-02-2017","28,468.75","28,450.42","28,726.26","28,102.23","65.66M","0.47%"
"05-02-2017","28,334.25","28,340.39","28,487.28","28,149.08","57.33M","0.33%"
"29-01-2017","28,240.52","27,866.80","28,299.92","27,590.10","67.59M","1.28%"
"22-01-2017","27,882.46","26,990.93","27,980.39","26,963.58","40.96M","3.14%"
"15-01-2017","27,034.50","27,238.35","27,422.67","27,009.81","51.43M","-0.75%"
"08-01-2017","27,238.06","26,860.81","27,459.75","26,701.18","50.51M","1.79%"
"01-01-2017","26,759.23","26,711.15","27,009.61","26,447.06","44.69M","0.50%"
"25-12-2016","26,626.46","25,992.41","26,678.60","25,753.74","39.29M","2.25%"
"18-12-2016","26,040.70","26,505.66","26,505.66","25,872.38","36.83M","-1.69%"
"11-12-2016","26,489.56","26,725.31","26,737.86","26,407.58","46.99M","-0.96%"
"04-12-2016","26,747.18","26,253.48","26,803.76","26,125.35","50.34M","1.97%"
"27-11-2016","26,230.66","26,303.52","26,769.32","26,182.93","50.57M","-0.33%"
"20-11-2016","26,316.34","26,246.70","26,343.95","25,717.93","48.54M","0.64%"
"13-11-2016","26,150.24","26,809.61","26,809.61","26,106.78","52.66M","-2.49%"
"06-11-2016","26,818.82","27,552.27","27,743.46","25,902.45","78.61M","-1.67%"
"30-10-2016","27,274.15","28,066.32","28,095.71","27,193.61","60.11M","-2.39%"
"23-10-2016","27,941.51","28,156.59","28,256.65","27,665.60","67.04M","-0.48%"
"16-10-2016","28,077.18","27,776.14","28,212.50","27,488.30","69.88M","1.46%"
"09-10-2016","27,673.60","28,144.28","28,216.64","27,548.18","33.85M","-1.38%"
"02-10-2016","28,061.14","27,997.29","28,477.65","27,919.89","64.31M","0.70%"
"25-09-2016","27,865.96","28,630.92","28,630.92","27,716.78","62.03M","-2.80%"
"18-09-2016","28,668.22","28,626.60","28,871.92","28,462.33","58.60M","0.24%"
"11-09-2016","28,599.03","28,481.09","28,778.64","28,251.31","49.79M","-0.69%"
"04-09-2016","28,797.25","28,631.27","29,077.28","28,631.27","66.77M","0.93%"
"28-08-2016","28,532.11","27,827.26","28,581.58","27,698.71","63.56M","2.70%"
"21-08-2016","27,782.25","28,088.07","28,154.21","27,696.99","50.46M","-1.05%"
"14-08-2016","28,077.00","28,190.04","28,214.17","27,942.65","56.05M","-0.27%"
"07-08-2016","28,152.40","28,181.92","28,289.96","27,697.33","83.32M","0.26%"
"31-07-2016","28,078.35","28,083.08","28,284.85","27,627.97","65.89M","0.09%"
"24-07-2016","28,051.86","27,753.96","28,240.20","27,736.51","64.92M","0.89%"
"17-07-2016","27,803.24","27,920.66","28,013.50","27,637.98","73.65M","-0.12%"
"10-07-2016","27,836.50","27,358.23","28,048.70","27,358.23","82.87M","2.62%"
"03-07-2016","27,126.90","27,314.44","27,385.66","27,034.14","42.73M","-0.07%"
"26-06-2016","27,144.91","26,347.81","27,243.36","26,262.72","54.44M","2.83%"
"19-06-2016","26,397.71","26,497.11","27,060.98","25,911.33","59.72M","-0.86%"
"12-06-2016","26,625.91","26,468.27","26,752.59","26,262.27","52.74M","-0.04%"
